gbifID,species,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
932707592,Dianthus langeanus,ES,Embalse de A Cenza,Or,PRESENT,,d251a33c-5e57-4e2e-b1d0-6beb0adf369d,42.22117,-7.26875,,,,,,,2007-07-05T00:00:00,5,7,2007,7267498,7267498,PRESERVED_SPECIMEN,BIGA,FBIGA,32702,132692,,,CC_BY_NC_4_0,,R. Pino,,,,,
932706380,Dianthus langeanus,ES,Alto de Penagache,Or,PRESENT,,d251a33c-5e57-4e2e-b1d0-6beb0adf369d,42.08666,-8.10668,,,,,,,2004-07-03T00:00:00,3,7,2004,7267498,7267498,PRESERVED_SPECIMEN,BIGA,FBIGA,27819,62277,,,CC_BY_NC_4_0,,R. Pino,,,,,
932704478,Dianthus langeanus,ES,Serra de Santa Eufemia,Or,PRESENT,,d251a33c-5e57-4e2e-b1d0-6beb0adf369d,41.82577,-8.14644,,,,,,,2003-07-19T00:00:00,19,7,2003,7267498,7267498,PRESERVED_SPECIMEN,BIGA,FBIGA,26270,42849,,,CC_BY_NC_4_0,,R. Pino,,,,,
932704430,Dianthus langeanus,ES,Alto de Santa Eufemia,Or,PRESENT,,d251a33c-5e57-4e2e-b1d0-6beb0adf369d,41.85279,-8.14608,,,,,,,2003-07-19T00:00:00,19,7,2003,7267498,7267498,PRESERVED_SPECIMEN,BIGA,FBIGA,26216,42795,,,CC_BY_NC_4_0,,R. Pino,,,,,
895359109,Dianthus langeanus,ES,Galende,Za,PRESENT,,a6deb94a-2c40-47ec-a678-3d502cd42bc2,42.110001,-6.73,,,,,,,,,,,7267498,7267498,PRESERVED_SPECIMEN,SALA,SALA,131289-1,PB-2131,P. Bariego,,CC_BY_NC_4_0,,P. Bariego,,,2023-09-07T09:11:08.804Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
895284441,Dianthus langeanus,ES,Filiel;,León,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.38,-6.39,7071,,,,,,1990-06-16T00:00:00,16,6,1990,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,90029-1,,,,CC_BY_NC_4_0,,Llamas,,,,,
895284287,Dianthus langeanus,ES,Candín []; Puerto de Ancares,León,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.84,-6.86,7071,,,,,,1983-07-20T00:00:00,20,7,1983,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,90034-1,,,,CC_BY_NC_4_0,,Díaz González,,,2023-09-07T09:10:07.620Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
895280749,Dianthus langeanus,ES,Candín; Puerto de Ancares a Peña Cuiña,León,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.84,-6.86,7071,,1800,0,,,1994-06-27T00:00:00,27,6,1994,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,85129-1,,,,CC_BY_NC_4_0,,G. Mateo,,,,,
895279444,Dianthus langeanus,ES,Incio; alto de la Nevera,Lugo,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.67,-7.35,7071,,1100,0,,,,,,,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,83315-1,,,,CC_BY_NC_4_0,,Romero,,,,,
895271593,Dianthus langeanus,ES,La Baña; Peña Trevinca,León,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.3,-6.76,7071,,1800,0,,,1982-07-16T00:00:00,16,7,1982,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,72553-1,,,,CC_BY_NC_4_0,,Andrés,,,,,
895166278,Dianthus langeanus,ES,Puebla de Sanabria,Zamora,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.06,-6.63,707,,950,0,,,1989-07-07T00:00:00,7,7,1989,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,141604-1,,,,CC_BY_NC_4_0,,b.Casasecca,,,,,
895156243,Dianthus langeanus,ES,Puerto de Ancares,León,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.84,-6.86,7071,,,,,,1983-07-20T00:00:00,20,7,1983,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,124184-1,,,,CC_BY_NC_4_0,,A. Penas & al.,,,2023-09-07T09:10:08.519Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
895156241,Dianthus langeanus,ES,Villanueva de Omaña,León,PRESENT,,8209258a-80e8-4094-aba2-a3febe5ed45b,42.82,-6.13,7071,,,,,,1973-07-03T00:00:00,3,7,1973,7267498,7267498,PRESERVED_SPECIMEN,VAL,VAL,124183-1,,,,CC_BY_NC_4_0,,A. Pérez,,,2023-09-07T09:10:05.929Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
85289044,Dianthus langeanus,ES,Somiedo. Vega Penouta,Asturias,PRESENT,,95cb537c-74c5-4c1e-ae24-32e7ea08f380,43,-6.24,,0,,,,,1978-07-13T00:00:00,13,7,1978,7267498,7267498,PRESERVED_SPECIMEN,FCO,FCO,9327-1,,J.A. Fdez. Prieto,,CC_BY_NC_4_0,,J.A. Fdez. Prieto,,,2023-09-07T07:11:35.429Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INDIVIDUAL_COUNT_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
85289036,Dianthus langeanus,ES,Somiedo. El Cornón,Asturias,PRESENT,,95cb537c-74c5-4c1e-ae24-32e7ea08f380,43,-6.24,,0,2000,0,,,1978-07-27T00:00:00,27,7,1978,7267498,7267498,PRESERVED_SPECIMEN,FCO,FCO,9326-1,,J.A. Fdez. Prieto,,CC_BY_NC_4_0,,J.A. Fdez. Prieto,,,2023-09-07T07:11:35.423Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INDIVIDUAL_COUNT_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
767272767,Dianthus langeanus,ES,Puebla de Sanabria; Puebla de Sanabria,Za,PRESENT,2,2f390a80-56f3-11da-880b-b8a03c50a862,42.011004,-6.597588,8000,,1,0,0,0,,,,,7267498,7267498,PRESERVED_SPECIMEN,PAMP,vascular,380-1,,,,CC_BY_4_0,,M.Losa,,,2023-09-07T11:02:38.618Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
