species;ID;treatment;dish;Sowing;N_seeds;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
Dianthus langeanus;A00;0;1;17/08/2023;25;0;1;1;4;4;1;1;0;0;1
Dianthus langeanus;A00;0;2;17/08/2023;25;0;3;1;4;0;3;0;0;1;1
Dianthus langeanus;A00;0;3;17/08/2023;25;0;1;1;1;4;3;1;1;0;0
Dianthus langeanus;A00;0;4;17/08/2023;19;1;0;1;2;2;0;0;0;0;0
Dianthus langeanus;A00;-0.2;1;17/08/2023;25;0;1;2;1;2;2;0;0;0;1
Dianthus langeanus;A00;-0.2;2;17/08/2023;25;0;0;2;0;0;1;2;3;2;0
Dianthus langeanus;A00;-0.2;3;17/08/2023;25;0;1;2;0;1;1;0;2;2;0
Dianthus langeanus;A00;-0.2;4;17/08/2023;25;2;2;0;1;2;0;1;0;0;0
Dianthus langeanus;A00;-0.4;1;17/08/2023;25;0;0;0;1;0;0;1;1;0;0
Dianthus langeanus;A00;-0.4;2;17/08/2023;25;0;1;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-0.4;3;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-0.4;4;17/08/2023;25;0;2;1;1;0;0;1;0;0;0
Dianthus langeanus;A00;-0.6;1;17/08/2023;25;0;0;0;0;0;1;0;0;0;1
Dianthus langeanus;A00;-0.6;2;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-0.6;3;17/08/2023;25;0;0;0;0;0;1;0;0;0;0
Dianthus langeanus;A00;-0.6;4;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-0.8;1;17/08/2023;25;0;0;0;0;0;1;0;0;0;0
Dianthus langeanus;A00;-0.8;2;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-0.8;3;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-0.8;4;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1;1;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1;2;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1;3;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1;4;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1.2;1;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1.2;2;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1.2;3;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;A00;-1.2;4;17/08/2023;25;0;0;0;0;0;0;0;0;0;0
Dianthus langeanus;B00;0;1;17/08/2023;25;1;0;2;3;2;1;1;0;1;0
Dianthus langeanus;B00;0;2;17/08/2023;25;0;3;4;2;1;1;2;0;1;1
Dianthus langeanus;B00;0;3;17/08/2023;25;1;1;2;2;1;1;1;0;2;2
Dianthus langeanus;B00;0;4;17/08/2023;25;0;3;1;4;5;1;0;0;0;1
Dianthus langeanus;B00;-0.2;1;17/08/2023;25;0;0;0;1;0;0;0;2;0;0
Dianthus langeanus;B00;-0.2;2;17/08/2023;25;0;0;1;2;1;3;2;0;0;0
Dianthus langeanus;B00;-0.2;3;17/08/2023;25;0;0;1;0;1;0;1;0;1;0
Dianthus langeanus;B00;-0.2;4;17/08/2023;25;1;0;1;2;2;2;3;2;0;0
Dianthus langeanus;B00;-0.4;1;17/08/2023;25;2;0;0;0;0;1;0;3;0;1
Dianthus langeanus;B00;-0.4;2;17/08/2023;25;0;0;0;0;1;1;0;0;0;1
