ID,code,Site,Aspect,Field position,UTM 29 E,UTM 29 N,Latitude,Longitude,Elevation,Soil,Rock,Vasculars,NonVasculars
A00,A,Rabinalto,central,0,735944,4753408,42.89682,-6.110191,2109.32,10,15,70,5
A01,A,Rabinalto,South,1,735943,4753398,42.896724,-6.110208,2107.8,5,40,55,0
A02,A,Rabinalto,South,2,735944,4753389,42.896643,-6.110207,2105.92,30,30,40,0
A03,A,Rabinalto,South,3,735944,4753380,42.896561,-6.110209,2101.58,44,55,1,0
A04,A,Rabinalto,South,4,735944,4753370,42.896472,-6.110212,2098.24,20,77,3,0
A05,A,Rabinalto,South,5,735942,4753360,42.896386,-6.110235,2096.15,5,3,92,0
A06,A,Rabinalto,North,6,735945,4753416,42.896889,-6.110183,2106.67,1,15,75,9
A07,A,Rabinalto,North,7,735946,5753422,42.896943,-6.11017,2100.4,10,3,82,5
A08,A,Rabinalto,North,8,735947,4753429,42.897006,-6.110155,2095.11,1,5,54,40
A09,A,Rabinalto,North,9,735948,4753439,42.897094,-6.110132,2092.44,0,0,100,0
A10,A,Rabinalto,North,10,735939,4753443,42.89713,-6.110238,2089.72,0,0,100,0
A11,A,Rabinalto,East,11,735954,4753409,42.896819,-6.110075,2105.72,5,10,80,5
A12,A,Rabinalto,East,12,735962,4753408,42.896813,-6.109969,2101.43,2,80,3,15
A13,A,Rabinalto,East,13,735971,4753408,42.896814,-6.109863,2096.59,1,5,93,1
A14,A,Rabinalto,East,14,735979,4753408,42.896807,-6.109761,2091.61,20,15,62,3
A15,A,Rabinalto,East,15,735988,4753407,42.896798,-6.109651,2087.15,35,35,30,0
A16,A,Rabinalto,West,16,735935,4753407,42.896817,-6.110309,2107,0,15,80,5
A17,A,Rabinalto,West,17,735926,4753408,42.896818,-6.110413,2107.25,0,3,85,12
A18,A,Rabinalto,West,18,735918,4753407,42.896816,-6.11051,2102.64,5,45,45,5
A19,A,Rabinalto,West,19,735910,4753407,42.896818,-6.110613,2100.27,0,15,75,10
A20,A,Rabinalto,West,20,735905,4753401,42.896765,-6.110675,2103.1,0,1,49,50
B00,B,Canada,central,0,736528,4752930,42.89233274,-6.1032588,2116,5,20,74,1
B01,B,Canada,South,1,736527,4752920,42.892249,-6.103267,2153.72,10,1,3,86
B02,B,Canada,South,2,736526,4752911,42.892163,-6.10329,2151.46,25,20,54,1
B03,B,Canada,South,3,736526,4752901,42.892081,-6.103295,2149.37,1,80,19,0
B04,B,Canada,South,4,736523,4752893,42.892007,-6.103329,2141.89,1,89,10,0
B05,B,Canada,South,5,736522,4752885,42.89193,-6.103351,2138.81,30,50,20,0
B06,B,Canada,North,6,736528,4752940,42.892424,-6.103244,2152.59,5,1,93,1
B07,B,Canada,North,7,736528,4752949,42.892512,-6.103244,2151.9,3,10,82,5
B08,B,Canada,North,8,736528,4752959,42.892602,-6.103241,2152.89,5,25,69,1
B09,B,Canada,North,9,736528,4752968,42.892682,-6.103233,2149.15,0,0,85,15
B10,B,Canada,North,10,736527,4752977,42.892758,-6.103245,2144,0,15,80,5
B11,B,Canada,East,11,736538,4752930,42.892336,-6.103131,2156.33,5,0,94,1
B12,B,Canada,East,12,736548,4752930,42.892332,-6.103013,2156.71,40,1,59,0
B13,B,Canada,East,13,736557,4752930,42.892326,-6.102895,2154.88,5,15,79,1
B14,B,Canada,East,14,736565,4752931,42.892339,-6.102804,2150.16,0,99,1,0
B15,B,Canada,East,15,736572,4752935,42.892369,-6.102715,2145.01,39,69,1,0
B16,B,Canada,West,16,736519,4752930,42.892339,-6.103364,2151.44,15,5,79,1
B17,B,Canada,West,17,736510,4752930,42.892339,-6.103479,2149.35,25,10,64,1
B18,B,Canada,West,18,746500,4752930,42.892343,-6.103591,2146.43,5,20,74,1
B19,B,Canada,West,19,736491,4752930,42.892346,-6.103705,2143.53,30,10,60,0
B20,B,Canada,West,20,736481,4752931,42.892356,-6.103823,2139.71,15,5,65,10
C00,C,Solana,central,0,738790.1639,4753832.129,42.899742,-6.0752056,2120,20,15,60,5
C01,C,Solana,South,1,738787.141,4753822.028,42.8996582,-6.0752518,2120.13,50,5,40,5
C02,C,Solana,South,2,738786.368,4753812.046,42.8995496,-6.0752709,2118.48,5,55,40,0
C03,C,Solana,South,3,738785.657,4753802.873,42.8994947,-6.0752863,2115.44,5,75,20,0
C04,C,Solana,South,4,738784.663,4753793.937,42.8994065,-6.0752741,2110.89,5,5,90,0
C05,C,Solana,South,5,738785.308,4753784.732,42.8993142,-6.0752731,2107.48,30,10,60,0
C06,C,Solana,North,6,738789.893,4753841.485,42.8998055,-6.0751708,2121.94,5,5,80,10
C07,C,Solana,North,7,738787.674,4753851.244,42.8999161,-6.0752081,2121.85,25,50,25,0
C08,C,Solana,North,8,738785.356,4753860.333,42.900011,-6.0752577,2118.27,10,5,80,5
C09,C,Solana,North,9,738781.07,4753869.155,42.9000869,-6.0753099,2115.67,5,10,80,5
C10,C,Solana,North,10,738779,4753879,42.900173,-6.075322,2114.56,5,0,95,0
C11,C,Solana,East,11,738798,4753831,42.899735,-6.075098,2119.79,60,5,35,0
C12,C,Solana,East,12,738808,4753831,42.899733,-6.074981,2117.26,35,35,30,0
C13,C,Solana,East,13,738818,4753832,42.899736,-6.074863,2114.37,40,40,20,0
C14,C,Solana,East,14,738827,4753833,42.899739,-6.074754,2111.39,10,45,45,0
C15,C,Solana,East,15,738836,4753833,42.899744,-6.074641,2108.47,5,3,92,0
C16,C,Solana,West,16,738779,4753830,42.899732,-6.075333,2120.47,5,0,90,5
C17,C,Solana,West,17,738770,4753829,42.899725,-6.075449,2117.78,3,10,20,67
C18,C,Solana,West,18,738761,4753829,42.899727,-6.075563,2113.97,5,5,85,5
C19,C,Solana,West,19,738752,4753830,42.899743,-6.075671,2109.53,5,15,75,5
C20,C,Solana,West,20,738742,4753831,42.89975,-6.075789,2104.9,10,5,75,10
D00,D,Penouta,central,0,739876,4754605,42.906362,-6.061585,2103.02,20,5,65,10
D01,D,Penouta,South,1,739876,4754596,42.906273,-6.061594,2101.48,5,20,70,5
D02,D,Penouta,South,2,739875,4754587,42.906195,-6.061604,2097.68,5,50,3,42
D03,D,Penouta,South,3,739875,4754579,42.906125,-6.061604,2092.29,0,5,95,0
D04,D,Penouta,South,4,739875,4754570,42.906046,-6.061616,2088.45,0,5,90,5
D05,D,Penouta,South,5,739875,4754562,42.905968,-6.061617,2083.96,1,1,3,95
D06,D,Penouta,North,6,739878,4754615,42.90645,-6.061556,2101.1,0,100,0,0
D07,D,Penouta,North,7,739878,4753625,42.906537,-6.061552,2098.74,0,100,0,0
D08,D,Penouta,North,8,739878,4754635,42.906622,-6.061544,2095.64,0,35,60,5
D09,D,Penouta,North,9,739879,4754644,42.906704,-6.061535,2092.15,0,5,94,1
D10,D,Penouta,North,10,739880,4754653,42.906784,-6.061517,2088.65,0,0,60,40
D11,D,Penouta,East,11,739887,4754606,42.906367,-6.061453,2103.72,10,30,60,0
D12,D,Penouta,East,12,739896,5754606,42.906363,-6.061336,2103.83,5,25,70,0
D13,D,Penouta,East,13,739905,4754607,42.906364,-6.061231,2101.12,30,35,35,0
D14,D,Penouta,East,14,739915,4754607,42.906364,-6.061111,2097.82,10,20,60,10
D15,D,Penouta,East,15,739924,4754608,42.906365,-6.060995,2096.66,0,0,100,0
D16,D,Penouta,West,16,739867,4754607,42.906378,-6.061694,2099.74,3,30,62,5
D17,D,Penouta,West,17,739858,4754607,42.906383,-6.061807,2097.81,10,30,10,50
