ID,seed,weight,storage_treatment
A00,1,0.84,Fresh_seeds
A00,2,0.62,Fresh_seeds
A00,3,1.01,Fresh_seeds
A00,4,0.62,Fresh_seeds
A00,5,0.69,Fresh_seeds
A00,6,0.67,Fresh_seeds
A00,7,0.66,Fresh_seeds
A00,8,0.72,Fresh_seeds
A00,9,0.74,Fresh_seeds
A00,10,0.6,Fresh_seeds
A00,1,0.84,After_ripened
A00,2,0.62,After_ripened
A00,3,1.01,After_ripened
A00,4,0.62,After_ripened
A00,5,0.69,After_ripened
A00,6,0.67,After_ripened
A00,7,0.66,After_ripened
A00,8,0.72,After_ripened
A00,9,0.74,After_ripened
A00,10,0.6,After_ripened
A02,1,0.71,After_ripened
A02,2,0.54,After_ripened
A02,3,0.57,After_ripened
A02,4,0.9,After_ripened
A02,5,0.81,After_ripened
A02,6,0.74,After_ripened
A02,7,0.96,After_ripened
A02,8,0.72,After_ripened
A02,9,0.64,After_ripened
A02,10,0.6,After_ripened
A11,1,0.96,After_ripened
A11,2,0.85,After_ripened
A11,3,1.11,After_ripened
A11,4,0.63,After_ripened
A11,5,0.94,After_ripened
A11,6,0.76,After_ripened
A11,7,0.73,After_ripened
A11,8,0.83,After_ripened
A11,9,0.77,After_ripened
A11,10,0.55,After_ripened
B00,1,1.15,Fresh_seeds
B00,2,0.5,Fresh_seeds
B00,3,0.77,Fresh_seeds
B00,4,0.58,Fresh_seeds
B00,5,0.83,Fresh_seeds
B00,6,1.28,Fresh_seeds
B00,7,1.06,Fresh_seeds
B00,8,0.57,Fresh_seeds
B00,9,0.84,Fresh_seeds
B00,10,0.78,Fresh_seeds
B03,1,0.59,After_ripened
B03,2,0.85,After_ripened
B03,3,0.49,After_ripened
B03,4,0.7,After_ripened
B03,5,1.07,After_ripened
B03,6,0.74,After_ripened
B03,7,0.55,After_ripened
B03,8,0.79,After_ripened
B03,9,1.04,After_ripened
B03,10,0.77,After_ripened
B03,1,0.59,Fresh_seeds
B03,2,0.85,Fresh_seeds
B03,3,0.49,Fresh_seeds
B03,4,0.7,Fresh_seeds
B03,5,1.07,Fresh_seeds
B03,6,0.74,Fresh_seeds
B03,7,0.55,Fresh_seeds
B03,8,0.79,Fresh_seeds
B03,9,1.04,Fresh_seeds
B03,10,0.77,Fresh_seeds
B07,1,0.61,Fresh_seeds
B07,2,0.69,Fresh_seeds
B07,3,0.63,Fresh_seeds
B07,4,0.72,Fresh_seeds
B07,5,1.39,Fresh_seeds
B07,6,0.75,Fresh_seeds
B07,7,0.82,Fresh_seeds
B07,8,0.65,Fresh_seeds
B07,9,0.75,Fresh_seeds
B07,10,0.73,Fresh_seeds
B17,1,0.7,Fresh_seeds
B17,2,0.96,Fresh_seeds
B17,3,0.79,Fresh_seeds
B17,4,0.85,Fresh_seeds
B17,5,0.88,Fresh_seeds
B17,6,0.64,Fresh_seeds
B17,7,0.81,Fresh_seeds
B17,8,0.5,Fresh_seeds
B17,9,0.7,Fresh_seeds
B17,10,0.63,Fresh_seeds
B19,1,0.5,After_ripened
B19,2,0.72,After_ripened
B19,3,0.6,After_ripened
B19,4,0.72,After_ripened
B19,5,0.5,After_ripened
B19,6,0.32,After_ripened
B20,1,0.89,Fresh_seeds
B20,2,0.6,Fresh_seeds
B20,3,0.82,Fresh_seeds
B20,4,0.42,Fresh_seeds
B20,5,0.42,Fresh_seeds
B20,6,0.54,Fresh_seeds
B20,7,0.68,Fresh_seeds
B20,8,0.64,Fresh_seeds
B20,9,0.58,Fresh_seeds
B20,10,0.39,Fresh_seeds
C00,1,1.19,After_ripened
C00,2,0.74,After_ripened
C00,3,0.5,After_ripened
C00,4,0.36,After_ripened
C00,5,0.76,After_ripened
C00,6,0.67,After_ripened
C00,7,0.88,After_ripened
C00,8,0.95,After_ripened
C00,9,0.75,After_ripened
C00,10,0.52,After_ripened
C00,1,1.19,Fresh_seeds
C00,2,0.74,Fresh_seeds
C00,3,0.5,Fresh_seeds
C00,4,0.36,Fresh_seeds
C00,5,0.76,Fresh_seeds
C00,6,0.67,Fresh_seeds
C00,7,0.88,Fresh_seeds
C00,8,0.95,Fresh_seeds
C00,9,0.75,Fresh_seeds
C00,10,0.52,Fresh_seeds
C06,1,0.54,Fresh_seeds
C06,2,1.19,Fresh_seeds
C06,3,0.92,Fresh_seeds
C06,4,0.58,Fresh_seeds
C06,5,0.66,Fresh_seeds
C06,6,0.82,Fresh_seeds
C06,7,0.71,Fresh_seeds
C06,8,0.66,Fresh_seeds
C06,9,0.45,Fresh_seeds
C06,10,0.54,Fresh_seeds
C18,1,0.61,After_ripened
C18,2,0.7,After_ripened
C18,3,0.74,After_ripened
C18,4,0.51,After_ripened
C18,5,0.92,After_ripened
C18,6,0.71,After_ripened
C18,7,0.43,After_ripened
C18,8,0.94,After_ripened
C18,9,0.42,After_ripened
C18,10,0.32,After_ripened
C19,1,0.88,After_ripened
C19,2,0.67,After_ripened
C19,3,0.54,After_ripened
C19,4,1.02,After_ripened
C19,5,0.32,After_ripened
C19,6,0.4,After_ripened
C19,7,0.24,After_ripened
C19,8,0.36,After_ripened
C19,9,0.67,After_ripened
C19,10,0.74,After_ripened
C19,1,0.88,Fresh_seeds
C19,2,0.67,Fresh_seeds
C19,3,0.54,Fresh_seeds
C19,4,1.02,Fresh_seeds
C19,5,0.32,Fresh_seeds
C19,6,0.4,Fresh_seeds
C19,7,0.24,Fresh_seeds
C19,8,0.36,Fresh_seeds
C19,9,0.67,Fresh_seeds
C19,10,0.74,Fresh_seeds
C20,1,0.84,After_ripened
C20,2,0.33,After_ripened
C20,3,0.6,After_ripened
C20,4,0.88,After_ripened
C20,5,0.54,After_ripened
C20,6,0.64,After_ripened
C20,7,0.49,After_ripened
C20,8,0.95,After_ripened
C20,9,0.65,After_ripened
C20,10,0.79,After_ripened
D00,1,0.79,After_ripened
D00,2,0.59,After_ripened
D00,3,0.99,After_ripened
D00,4,0.89,After_ripened
D00,5,1.18,After_ripened
D00,6,0.71,After_ripened
D00,7,1.07,After_ripened
D00,8,1.39,After_ripened
D00,9,0.78,After_ripened
D00,10,1.09,After_ripened
D00,1,0.79,Fresh_seeds
D00,2,0.59,Fresh_seeds
D00,3,0.99,Fresh_seeds
D00,4,0.89,Fresh_seeds
D00,5,1.18,Fresh_seeds
D00,6,0.71,Fresh_seeds
D00,7,1.07,Fresh_seeds
D00,8,1.39,Fresh_seeds
D00,9,0.78,Fresh_seeds
D00,10,1.09,Fresh_seeds
D11,1,1.51,After_ripened
D11,2,0.36,After_ripened
D11,3,1.06,After_ripened
D11,4,0.67,After_ripened
D11,5,0.83,After_ripened
D11,6,0.43,After_ripened
D11,7,0.95,After_ripened
D11,8,1.07,After_ripened
D11,9,1.36,After_ripened
D11,10,1.09,After_ripened
D12,1,1.02,Fresh_seeds
D12,2,0.66,Fresh_seeds
D12,3,0.64,Fresh_seeds
D12,4,0.63,Fresh_seeds
D12,5,0.59,Fresh_seeds
D12,6,0.55,Fresh_seeds
D12,7,0.97,Fresh_seeds
D12,8,1.33,Fresh_seeds
D12,9,0.49,Fresh_seeds
D12,10,1.38,Fresh_seeds
D19,1,0.48,After_ripened
D19,2,0.78,After_ripened
D19,3,0.82,After_ripened
D19,4,0.53,After_ripened
D19,5,1.12,After_ripened
D19,6,0.92,After_ripened
D19,7,0.69,After_ripened
D19,8,0.35,After_ripened
D19,9,0.43,After_ripened
D19,10,0.56,After_ripened
D19,1,0.48,Fresh_seeds
D19,2,0.78,Fresh_seeds
D19,3,0.82,Fresh_seeds
D19,4,0.53,Fresh_seeds
D19,5,1.12,Fresh_seeds
D19,6,0.92,Fresh_seeds
D19,7,0.69,Fresh_seeds
D19,8,0.35,Fresh_seeds
D19,9,0.43,Fresh_seeds
D19,10,0.56,Fresh_seeds
