"","storage_treatment","ID","method","n.treatments","theta","psib50","sigma","R2"
"1","After_ripened","A00","bradford",4,1.03476276375035,-0.397169770417074,0.173633700927328,0.969531837079537
"2","After_ripened","A02","bradford",5,1.49584881822247,-0.553364428467083,0.238777603084555,0.960804505293328
"3","After_ripened","A11","bradford",5,1.18488399730769,-0.435489167555438,0.265924814220624,0.982734956335715
"4","After_ripened","B03","bradford",5,1.46171302198674,-0.469928976372731,0.248028215653333,0.953138738245621
"5","After_ripened","B19","bradford",4,1.08942721746764,-0.350676383046687,0.252554477163881,0.959825574326032
"6","After_ripened","C00","bradford",5,1.13708173751519,-0.429848194132627,0.217110150954796,0.945957309084666
"7","After_ripened","C18","bradford",5,1.09400956311363,-0.369719825302466,0.244179015079442,0.95480396781554
"8","After_ripened","C19","bradford",6,0.919358130874395,-0.407777462772778,0.237743926349308,0.943858396681873
"9","After_ripened","C20","bradford",5,1.20345972084549,-0.432253071326616,0.229196198941704,0.936112317978079
"10","After_ripened","D00","bradford",5,1.01309911349845,-0.453679704384742,0.214362534642757,0.929332742697281
"11","After_ripened","D11","bradford",5,1.54121977070335,-0.476102445607273,0.29897064285555,0.897611360900548
"12","After_ripened","D19","bradford",5,1.29234178973914,-0.41611967946731,0.279960769084436,0.911957679624141
"13","Fresh_seeds","A00","bradford",7,0.732209216746161,0.0417606824267407,0.47405216060651,0.811428430870257
"14","Fresh_seeds","B00","bradford",6,0.953212615292729,-0.0595592031621869,0.409390890182357,0.881779941782949
"15","Fresh_seeds","B03","bradford",6,1.25690392859362,0.0825585280744635,0.570932324559136,0.893131146491211
"16","Fresh_seeds","B07","bradford",5,0.780975564454057,0.0656556366354063,0.413024070167006,0.875058348086002
"17","Fresh_seeds","B17","bradford",6,1.26262300346866,-0.0974905427375668,0.454376768632215,0.907119869575032
"18","Fresh_seeds","B20","bradford",4,0.672571123208725,-0.164893312610841,0.281600975871255,0.902543661718137
"19","Fresh_seeds","C00","bradford",6,0.866387699050101,-0.174930900986067,0.320326003927391,0.89893410290302
"20","Fresh_seeds","C06","bradford",5,0.919536289734567,-0.250221333105859,0.340096554628912,0.944723970440528
"21","Fresh_seeds","C19","bradford",6,0.70018395620189,-0.170828127517567,0.376209828592832,0.911167723138897
"22","Fresh_seeds","D00","bradford",5,0.920748121643126,-0.229250846293246,0.324411547063289,0.909393644924747
"23","Fresh_seeds","D12","bradford",5,0.765333223769642,-0.128387076933053,0.310964491032211,0.879240638571219
"24","Fresh_seeds","D19","bradford",5,0.941694597048329,-0.163454425644193,0.353041103126239,0.931748743152895
