;species;ID;method;n.treatments;theta;psib50;sigma;R2
1;Dianthus langeanus;A00;bradford;4;1.034762764;-0.39716977;0.173633701;0.969531837
2;Dianthus langeanus;A02;bradford;5;1.495848818;-0.553364428;0.238777603;0.960804505
3;Dianthus langeanus;A11;bradford;5;1.184883997;-0.435489168;0.265924814;0.982734956
4;Dianthus langeanus;B03;bradford;5;1.461713022;-0.469928976;0.248028216;0.953138738
5;Dianthus langeanus;B19;bradford;4;1.089427217;-0.350676383;0.252554477;0.959825574
6;Dianthus langeanus;C00;bradford;5;1.138525799;-0.430137758;0.217165892;0.945674424
7;Dianthus langeanus;C18;bradford;5;1.094009563;-0.369719825;0.244179015;0.954803968
8;Dianthus langeanus;C19;bradford;6;0.919358131;-0.407777463;0.237743926;0.943858397
9;Dianthus langeanus;C20;bradford;5;1.201680297;-0.435229315;0.226072236;0.940834087
10;Dianthus langeanus;D00;bradford;5;1.013745876;-0.45381631;0.214407407;0.929169783
11;Dianthus langeanus;D11;bradford;5;1.541219771;-0.476102446;0.298970643;0.897611361
12;Dianthus langeanus;D19;bradford;5;1.29234179;-0.416119679;0.279960769;0.91195768
