"","species","ID","treatment","time","germination.mean","germination.lower","germination.upper","r50"
"1","Dianthus langeanus","A00",-1.2,18,0,0,0.0713475991333587,NA
"2","Dianthus langeanus","A00",-1,18,0,0,0.0713475991333587,NA
"3","Dianthus langeanus","A00",-0.8,18,0,0,0.0713475991333587,NA
"4","Dianthus langeanus","A00",-0.6,18,0.04,0.0110388843276198,0.13460090687507,NA
"5","Dianthus langeanus","A00",-0.4,18,0.466666666666667,0.358156963389703,0.57842462610915,NA
"6","Dianthus langeanus","A00",-0.2,18,0.81,0.722211546209356,0.874852484902313,0.218181818181818
"7","Dianthus langeanus","A00",0,18,0.96,0.901629285641121,0.984336696008452,0.358974358974359
"8","Dianthus langeanus","A02",-1.2,28,0,0,0.0726978192204964,NA
"9","Dianthus langeanus","A02",-1,28,0,0,0.0713475991333587,NA
"10","Dianthus langeanus","A02",-0.8,28,0.0510204081632653,0.0219873114040247,0.113924516460342,NA
"11","Dianthus langeanus","A02",-0.6,28,0.329896907216495,0.244380917226407,0.428372726107163,NA
"12","Dianthus langeanus","A02",-0.4,28,0.59,0.492014300534108,0.681326869788635,0.1
"13","Dianthus langeanus","A02",-0.2,28,0.878787878787879,0.799993384622795,0.929284485022791,0.267515923566879
"14","Dianthus langeanus","A02",0,28,0.95959595959596,0.900679787497458,0.984177361005853,0.335260115606936
"15","Dianthus langeanus","A11",-1.2,28,0,0,0.0713475991333587,NA
"16","Dianthus langeanus","A11",-1,28,0,0,0.0726978192204964,NA
"17","Dianthus langeanus","A11",-0.8,28,0.04,0.0156633039915476,0.0983707143588792,NA
"18","Dianthus langeanus","A11",-0.6,28,0.204081632653061,0.136177011386092,0.294310329706331,NA
"19","Dianthus langeanus","A11",-0.4,28,0.402061855670103,0.310021966016566,0.501563464993671,NA
"20","Dianthus langeanus","A11",-0.2,28,0.79,0.700200311659101,0.858343459380847,0.222222222222222
"21","Dianthus langeanus","A11",0,28,0.89,0.813687034969197,0.937458036429354,0.333333333333333
"22","Dianthus langeanus","B03",-1.2,18,0,0,0.0713475991333587,NA
"23","Dianthus langeanus","B03",-1,18,0,0,0.0713475991333587,NA
"24","Dianthus langeanus","B03",-0.8,18,0,0,0.0369934982069857,NA
"25","Dianthus langeanus","B03",-0.6,18,0.18,0.117002254989463,0.266673583863007,NA
"26","Dianthus langeanus","B03",-0.4,18,0.59,0.492014300534108,0.681326869788635,0.0833333333333333
"27","Dianthus langeanus","B03",-0.2,18,0.72,0.625119712900788,0.798603147888138,0.209302325581395
"28","Dianthus langeanus","B03",0,18,0.936842105263158,0.868993489999307,0.970735111645153,0.347826086956522
"29","Dianthus langeanus","B19",-1.2,18,0,0,0.133192250939048,NA
"30","Dianthus langeanus","B19",-1,18,0,0,0.133192250939048,NA
"31","Dianthus langeanus","B19",-0.8,18,0,0,0.0487238424828058,NA
"32","Dianthus langeanus","B19",-0.6,18,0.09,0.0480725400025652,0.162262128527163,NA
"33","Dianthus langeanus","B19",-0.4,18,0.4,0.309401286432459,0.497997413208938,NA
"34","Dianthus langeanus","B19",-0.2,18,0.63,0.532205295809429,0.718176394656755,0.222222222222222
"35","Dianthus langeanus","B19",0,18,0.83,0.744519952323989,0.891064338859401,0.350515463917526
"36","Dianthus langeanus","C00",-1.2,18,0,0,0.0713475991333587,NA
"37","Dianthus langeanus","C00",-1,18,0,0,0.0713475991333587,NA
