site;ID;bio1;bio2;bio7;Snw;FDD;GDD
Cañada;B03;8.53610443;8.677866942;29.84919355;0;11.08333333;2380.340476
Cañada;B07;7.384657335;10.17319737;40.32016129;23;12.75;2078.202381
Cañada;B17;6.503649257;4.518789396;26.18709677;41;8.5;1833.333333
Cañada;B19;6.512496609;6.266625977;28.30645161;14;1.583333333;1775.833333
Cañada;B20;6.746496669;6.999799681;28.36785714;33;0;1860.214286
Penouta;D11;6.600969998;5.309615385;25.55769231;31;12.16666667;1975.595238
Penouta;D12;7.984129088;7.557082165;31.25806452;6;4.166666667;2341.52619
Penouta;D19;4.827088234;2.693212164;16.90322581;56;5;1375.27381
Rabinalto;A02;7.879930021;6.142146758;28.22580645;19;0;2190.852381
Rabinalto;A11;7.734327744;7.893970814;33.17822581;28;4.5;2190.285714
Solana;C06;6.840166285;5.273666656;23.90322581;15;3.75;1951.940476
Solana;C18;6.390258577;6.676565907;28.9516129;20;7;1896.904762
Solana;C19;5.509588843;4.51065977;22.69354839;8;8.416666667;1595.75
Solana;C20;6.465002113;7.508778856;27.9516129;16;6.25;1869.464286
