;species;ID;method;n.treatments;theta;psib50;sigma;R2
1;Dianthus langeanus;A00;bradford;7;0.732075009;0.06118493;0.481457191;0.812339466
2;Dianthus langeanus;B00;bradford;6;0.947715435;-0.049187688;0.41006101;0.878418547
3;Dianthus langeanus;B03;bradford;6;1.245507836;0.104287052;0.572840073;0.895783816
4;Dianthus langeanus;B07;bradford;5;0.778179979;0.078120026;0.416105672;0.875468915
5;Dianthus langeanus;B17;bradford;6;1.236136668;-0.082084901;0.449994426;0.909939726
6;Dianthus langeanus;B20;bradford;4;0.670026193;-0.145769989;0.288670184;0.899997656
7;Dianthus langeanus;C00;bradford;6;0.856415689;-0.16613237;0.319570911;0.896646968
8;Dianthus langeanus;C06;bradford;5;0.910071453;-0.241901286;0.339660598;0.948360306
9;Dianthus langeanus;C19;bradford;6;0.692018587;-0.138944421;0.385030139;0.910363781
10;Dianthus langeanus;D00;bradford;5;0.909007933;-0.213536992;0.326372428;0.903547015
11;Dianthus langeanus;D12;bradford;5;0.762387735;-0.114604123;0.314773429;0.877435012
12;Dianthus langeanus;D19;bradford;5;0.92344817;-0.146805986;0.351846365;0.927396381
