;species;ID;treatment;time;germination.mean;germination.lower;germination.upper;r50
1;Dianthus langeanus;A00;-1.2;28;0.020408163;0.005614614;0.071382111;NA
2;Dianthus langeanus;A00;-1;28;0.01;0.001767432;0.054486196;NA
3;Dianthus langeanus;A00;-0.8;28;0.01010101;0.001785307;0.055015315;NA
4;Dianthus langeanus;A00;-0.6;28;0.042105263;0.016493773;0.103308777;NA
5;Dianthus langeanus;A00;-0.4;28;0.091836735;0.049069215;0.165396083;NA
6;Dianthus langeanus;A00;-0.2;28;0.505263158;0.406493;0.603624212;0.043010753
7;Dianthus langeanus;A00;0;28;0.597826087;0.495659751;0.692150412;0.09375
8;Dianthus langeanus;B00;-1.2;28;0;0;0.037353212;NA
9;Dianthus langeanus;B00;-1;28;0.020408163;0.005614614;0.071382111;NA
10;Dianthus langeanus;B00;-0.8;28;0.031578947;0.010797139;0.088770986;NA
11;Dianthus langeanus;B00;-0.6;28;0.031914894;0.010912627;0.089673146;NA
12;Dianthus langeanus;B00;-0.4;28;0.195876289;0.129139404;0.285783777;NA
13;Dianthus langeanus;B00;-0.2;28;0.404255319;0.310701901;0.505327007;NA
14;Dianthus langeanus;B00;0;28;0.67;0.573053438;0.754368773;0.111111111
15;Dianthus langeanus;B03;-1.2;28;0;0;0.037353212;NA
16;Dianthus langeanus;B03;-1;28;0.020833333;0.00573197;0.072807135;NA
17;Dianthus langeanus;B03;-0.8;28;0.041666667;0.016320708;0.102281915;NA
18;Dianthus langeanus;B03;-0.6;28;0.129032258;0.075377363;0.212117881;NA
19;Dianthus langeanus;B03;-0.4;28;0.230769231;0.156181598;0.327166712;NA
20;Dianthus langeanus;B03;-0.2;28;0.316326531;0.232670601;0.413838783;NA
21;Dianthus langeanus;B03;0;28;0.530612245;0.432524672;0.626390431;0.044444444
22;Dianthus langeanus;B07;-1.2;28;0;0;0.038864854;NA
23;Dianthus langeanus;B07;-1;28;0;0;0.038475588;NA
24;Dianthus langeanus;B07;-0.8;28;0.030927835;0.010573345;0.087020035;NA
25;Dianthus langeanus;B07;-0.6;28;0.020618557;0.005672685;0.072087582;NA
26;Dianthus langeanus;B07;-0.4;28;0.127659574;0.074558139;0.209998727;NA
27;Dianthus langeanus;B07;-0.2;28;0.252525253;0.177293769;0.346244689;NA
28;Dianthus langeanus;B07;0;28;0.546391753;0.447440924;0.641808082;0.054794521
29;Dianthus langeanus;B17;-1.2;28;0;3.33E-18;0.039667503;NA
30;Dianthus langeanus;B17;-1;28;0.033333333;0.01140039;0.09347286;NA
31;Dianthus langeanus;B17;-0.8;28;0.021978022;0.006048006;0.076631646;NA
32;Dianthus langeanus;B17;-0.6;28;0.076086957;0.03734356;0.148812401;NA
33;Dianthus langeanus;B17;-0.4;28;0.252747253;0.174727173;0.350796785;NA
34;Dianthus langeanus;B17;-0.2;28;0.404040404;0.312718568;0.502531038;NA
35;Dianthus langeanus;B17;0;28;0.602040816;0.503049527;0.693334148;0.086956522
36;Dianthus langeanus;B20;-1.2;28;0;0;0.03771999;NA
37;Dianthus langeanus;B20;-1;28;0;0;0.038094043;NA
38;Dianthus langeanus;B20;-0.8;28;0;0;0.037353212;NA
39;Dianthus langeanus;B20;-0.6;28;0.055555556;0.023960972;0.123537362;NA
40;Dianthus langeanus;B20;-0.4;28;0.134020619;0.080024567;0.215899939;NA
41;Dianthus langeanus;B20;-0.2;28;0.551020408;0.452475461;0.645716377;0.076923077
42;Dianthus langeanus;B20;0;28;0.765957447;0.67097301;0.8400578;0.148148148
43;Dianthus langeanus;C00;-1.2;28;0;0;0.038475588;NA
44;Dianthus langeanus;C00;-1;28;0.010204082;0.001803548;0.05555481;NA
45;Dianthus langeanus;C00;-0.8;28;0.010752688;0.001900642;0.058419172;NA
46;Dianthus langeanus;C00;-0.6;28;0.021978022;0.006048006;0.076631646;NA
47;Dianthus langeanus;C00;-0.4;28;0.204301075;0.134876423;0.297185003;NA
48;Dianthus langeanus;C00;-0.2;28;0.587628866;0.488154697;0.68042676;0.075471698
49;Dianthus langeanus;C00;0;28;0.69;0.593739443;0.772203028;0.15625
50;Dianthus langeanus;C06;-1.2;28;0;0;0.03771999;NA
51;Dianthus langeanus;C06;-1;28;0;0;0.038094043;NA
52;Dianthus langeanus;C06;-0.8;28;0.030612245;0.010464891;0.086170202;NA
53;Dianthus langeanus;C06;-0.6;28;0.170212766;0.107576212;0.258745583;NA
54;Dianthus langeanus;C06;-0.4;28;0.364583333;0.275239401;0.464347738;NA
55;Dianthus langeanus;C06;-0.2;28;0.444444444;0.350460674;0.542578572;NA
56;Dianthus langeanus;C06;0;28;0.787878788;0.697386536;0.856864645;0.229885057
57;Dianthus langeanus;C19;-1.2;28;0;0;0.038864854;NA
58;Dianthus langeanus;C19;-1;28;0.010752688;0.001900642;0.058419172;NA
59;Dianthus langeanus;C19;-0.8;28;0.02173913;0.005982041;0.07583494;NA
60;Dianthus langeanus;C19;-0.6;28;0.113636364;0.062908004;0.196685639;NA
61;Dianthus langeanus;C19;-0.4;28;0.22826087;0.15442192;0.323883183;NA
62;Dianthus langeanus;C19;-0.2;28;0.536082474;0.437364207;0.632051686;0.096385542
63;Dianthus langeanus;C19;0;28;0.76344086;0.667708282;0.838273357;0.153846154
64;Dianthus langeanus;D00;-1.2;28;0;0;0.040504004;NA
65;Dianthus langeanus;D00;-1;28;0;0;0.03771999;NA
66;Dianthus langeanus;D00;-0.8;28;0.011363636;0.002008785;0.061594939;NA
67;Dianthus langeanus;D00;-0.6;28;0.166666667;0.105273824;0.253709902;NA
68;Dianthus langeanus;D00;-0.4;28;0.273684211;0.194145544;0.370814337;NA
