,Site,ID,Year,august_minBWP_date,august_maxBWP_date,time_diff_august (hours)
1,Canada,B00,2021,04/08/2021 2:00,04/08/2021 1:00,1
2,Canada,B07,2022,08/08/2022 18:00,08/08/2022 18:00,0
3,Canada,B07,2023,03/09/2023 23:00,03/09/2023 23:00,0
4,Canada,B10,2022,18/08/2022,17/08/2022 18:00,6
5,Canada,B10,2023,03/09/2023 20:00,03/09/2023 20:00,0
7,Penouta,D00,2021,08/09/2021 18:00,08/09/2021 18:00,0
8,Penouta,D00,2022,13/09/2022 19:00,13/09/2022 19:00,0
9,Penouta,D00,2023,03/09/2023 20:00,03/09/2023 20:00,0
10,Penouta,D10,2022,20/09/2022 13:00,20/09/2022 13:00,0
11,Penouta,D10,2023,19/08/2023 10:00,19/08/2023 9:00,1
12,Penouta,D12,2022,11/08/2022 3:00,11/08/2022 3:00,0
13,Penouta,D12,2023,19/08/2023 7:00,19/08/2023 7:00,0
14,Rabinalto,A00,2021,04/08/2021 1:00,04/08/2021 1:00,0
15,Rabinalto,A00,2022,08/08/2022 18:00,08/08/2022 18:00,0
16,Rabinalto,A00,2023,19/08/2023 14:00,19/08/2023 11:00,3
17,Rabinalto,A01,2023,19/08/2023 8:00,19/08/2023 8:00,0
18,Rabinalto,A18,2022,06/09/2022 7:00,06/09/2022 7:00,0
19,Solana,C00,2021,05/08/2021 10:00,05/08/2021 4:00,6
20,Solana,C00,2022,13/09/2022 15:00,13/09/2022 15:00,0
21,Solana,C00,2023,04/09/2023 15:00,04/09/2023 4:00,11
22,Solana,C08,2022,08/08/2022 18:00,08/08/2022 18:00,0
23,Solana,C08,2023,19/08/2023 7:00,19/08/2023 7:00,0
24,Solana,C15,2022,11/08/2022 1:00,11/08/2022 1:00,0
25,Solana,C15,2023,19/08/2023 9:00,19/08/2023 9:00,0
