,storage_treatment,ID,treatment,time,germination.mean,germination.lower,germination.upper,r50
1,After_ripened,A00,-1.2,28,0,0,0.071347599,NA
2,After_ripened,A00,-1,28,0,0,0.072697819,NA
3,After_ripened,A00,-0.8,28,0,0,0.07410013,NA
4,After_ripened,A00,-0.6,28,0.081632653,0.032202818,0.191891276,NA
5,After_ripened,A00,-0.4,28,0.642857143,0.525883946,0.744966607,0.055555556
6,After_ripened,A00,-0.2,28,0.84,0.755797306,0.899047115,0.218181818
7,After_ripened,A00,0,28,0.97979798,0.929309688,0.99444228,0.361290323
8,After_ripened,A02,-1.2,28,0,0,0.07410013,NA
9,After_ripened,A02,-1,28,0,0,0.072697819,NA
10,After_ripened,A02,-0.8,28,0.056818182,0.024511028,0.126199327,NA
11,After_ripened,A02,-0.6,28,0.367816092,0.274086891,0.472724749,NA
12,After_ripened,A02,-0.4,28,0.621052632,0.52059392,0.712101957,0.109090909
13,After_ripened,A02,-0.2,28,0.925531915,0.854187878,0.963461419,0.276315789
14,After_ripened,A02,0,28,0.979381443,0.927912418,0.994327315,0.339181287
15,After_ripened,A11,-1.2,28,0,0,0.07410013,NA
16,After_ripened,A11,-1,28,0,0,0.075557604,NA
17,After_ripened,A11,-0.8,28,0.041237113,0.016151237,0.101275256,NA
18,After_ripened,A11,-0.6,28,0.215053763,0.14375022,0.308963518,NA
19,After_ripened,A11,-0.4,28,0.423913043,0.327979849,0.52594558,NA
20,After_ripened,A11,-0.2,28,0.806122449,0.716931756,0.87221927,0.226415094
21,After_ripened,A11,0,28,0.908163265,0.834603917,0.950930785,0.337349398
22,After_ripened,B03,-1.2,28,0,0,0.072697819,NA
23,After_ripened,B03,-1,28,0,0,0.07410013,NA
24,After_ripened,B03,-0.8,28,0.02247191,0.006184399,0.078276347,NA
25,After_ripened,B03,-0.6,28,0.26,0.184046985,0.353709894,NA
26,After_ripened,B03,-0.4,28,0.709677419,0.610574095,0.792145985,0.08583691
27,After_ripened,B03,-0.2,28,0.806122449,0.716931756,0.87221927,0.211764706
28,After_ripened,B03,0,28,0.947368421,0.882651139,0.977311887,0.347826087
29,After_ripened,B19,-1.2,28,0,1.13198598410295e-17,0.184318135,NA
30,After_ripened,B19,-1,28,0,1.13198598410295e-17,0.184318135,NA
31,After_ripened,B19,-0.8,28,0,0,0.049992008,NA
32,After_ripened,B19,-0.6,28,0.147368421,0.089860807,0.232285985,NA
33,After_ripened,B19,-0.4,28,0.511363636,0.408655304,0.613121354,0.036585366
34,After_ripened,B19,-0.2,28,0.676767677,0.579529679,0.760799994,0.225352113
35,After_ripened,B19,0,28,0.865979381,0.784100061,0.919975433,0.356020942
36,After_ripened,C00,-1.2,28,0,0,0.072697819,NA
37,After_ripened,C00,-1,28,0,0,0.077073563,NA
38,After_ripened,C00,-0.8,28,0.041666667,0.011501893,0.139756559,NA
39,After_ripened,C00,-0.6,28,0.173469388,0.111221318,0.26035092,NA
40,After_ripened,C00,-0.4,28,0.715789474,0.618089896,0.796715798,0.08
41,After_ripened,C00,-0.2,28,0.865979381,0.784100061,0.919975433,0.264900662
42,After_ripened,C00,0,28,0.91,0.837737871,0.95192746,0.355555556
43,After_ripened,C18,-1.2,28,0,0,0.077073563,NA
44,After_ripened,C18,-1,28,0,0,0.07410013,NA
45,After_ripened,C18,-0.8,28,0.011363636,0.002008785,0.061594939,NA
46,After_ripened,C18,-0.6,28,0.166666667,0.103684887,0.256938863,NA
47,After_ripened,C18,-0.4,28,0.593406593,0.49069436,0.688552144,0.063492063
48,After_ripened,C18,-0.2,28,0.762886598,0.669259123,0.836485246,0.19047619
49,After_ripened,C18,0,28,0.907216495,0.832991163,0.950416782,0.289308176
50,After_ripened,C19,-1.2,28,0,1.16417270538569e-17,0.161125158,NA
51,After_ripened,C19,-1,28,0.021276596,0.003765768,0.11112981,NA
52,After_ripened,C19,-0.8,28,0.051282051,0.014177955,0.1688564,NA
53,After_ripened,C19,-0.6,28,0.142857143,0.070964237,0.266677062,NA
54,After_ripened,C19,-0.4,28,0.676470588,0.558444981,0.775623959,0.083333333
55,After_ripened,C19,-0.2,28,0.814285714,0.707744218,0.888127,0.318181818
56,After_ripened,C19,0,28,0.926470588,0.839148116,0.968185156,0.431818182
57,After_ripened,C20,-1.2,28,0,0,0.078651599,NA
58,After_ripened,C20,-1,28,0,0,0.078651599,NA
59,After_ripened,C20,-0.8,28,0.022988506,0.006327085,0.07999318,NA
60,After_ripened,C20,-0.6,28,0.188235294,0.119321434,0.284110244,NA
61,After_ripened,C20,-0.4,28,0.73255814,0.630549592,0.814679154,0.09375
62,After_ripened,C20,-0.2,28,0.846938776,0.762711325,0.904993172,0.222222222
63,After_ripened,C20,0,28,0.957446809,0.895643542,0.983329452,0.317073171
64,After_ripened,D00,-1.2,28,0,0,0.077073563,NA
65,After_ripened,D00,-1,28,0,0,0.072697819,NA
66,After_ripened,D00,-0.8,28,0.011363636,0.002008785,0.061594939,NA
67,After_ripened,D00,-0.6,28,0.313253012,0.223613941,0.419413705,NA
68,After_ripened,D00,-0.4,28,0.77173913,0.676116817,0.84557808,0.093333333
69,After_ripened,D00,-0.2,28,0.864583333,0.781988615,0.919122936,0.350649351
70,After_ripened,D00,0,28,0.97,0.915480636,0.989745476,0.423728814
71,After_ripened,D11,-1.2,28,0,0,0.078651599,NA
72,After_ripened,D11,-1,28,0,0,0.083798791,NA
73,After_ripened,D11,-0.8,28,0.08,0.037180124,0.163747903,NA
74,After_ripened,D11,-0.6,28,0.307692308,0.216319286,0.417118334,NA
75,After_ripened,D11,-0.4,28,0.706666667,0.595595548,0.797598597,0.105263158
76,After_ripened,D11,-0.2,28,0.875,0.789882442,0.928747258,0.157894737
77,After_ripened,D11,0,28,0.917525773,0.845623762,0.957617296,0.233576642
78,After_ripened,D19,-1.2,28,0,6.36983658024315e-18,0.082009803,NA
79,After_ripened,D19,-1,28,0,6.36983658024315e-18,0.082009803,NA
80,After_ripened,D19,-0.8,28,0.04494382,0.017614486,0.10993046,NA
81,After_ripened,D19,-0.6,28,0.188888889,0.121412598,0.281836235,NA
82,After_ripened,D19,-0.4,28,0.75,0.645153254,0.831937681,0.090909091
83,After_ripened,D19,-0.2,28,0.747252747,0.649203215,0.825272827,0.251851852
84,After_ripened,D19,0,28,0.860215054,0.775399673,0.916452771,0.296296296
85,Fresh_seeds,A00,-1.2,28,0.020408163,0.005614614,0.071382111,NA
86,Fresh_seeds,A00,-1,28,0.01,0.001767432,0.054486196,NA
87,Fresh_seeds,A00,-0.8,28,0.01010101,0.001785307,0.055015315,NA
88,Fresh_seeds,A00,-0.6,28,0.042105263,0.016493773,0.103308777,NA
89,Fresh_seeds,A00,-0.4,28,0.091836735,0.049069215,0.165396083,NA
90,Fresh_seeds,A00,-0.2,28,0.505263158,0.406493,0.603624212,0.043010753
91,Fresh_seeds,A00,0,28,0.597826087,0.495659751,0.692150412,0.09375
92,Fresh_seeds,B00,-1.2,28,0,0,0.037353212,NA
93,Fresh_seeds,B00,-1,28,0.020408163,0.005614614,0.071382111,NA
94,Fresh_seeds,B00,-0.8,28,0.031578947,0.010797139,0.088770986,NA
95,Fresh_seeds,B00,-0.6,28,0.031914894,0.010912627,0.089673146,NA
96,Fresh_seeds,B00,-0.4,28,0.195876289,0.129139404,0.285783777,NA
97,Fresh_seeds,B00,-0.2,28,0.404255319,0.310701901,0.505327007,NA
98,Fresh_seeds,B00,0,28,0.67,0.573053438,0.754368773,0.111111111
99,Fresh_seeds,B03,-1.2,28,0,0,0.037353212,NA
100,Fresh_seeds,B03,-1,28,0.020833333,0.00573197,0.072807135,NA
101,Fresh_seeds,B03,-0.8,28,0.041666667,0.016320708,0.102281915,NA
102,Fresh_seeds,B03,-0.6,28,0.129032258,0.075377363,0.212117881,NA
103,Fresh_seeds,B03,-0.4,28,0.230769231,0.156181598,0.327166712,NA
104,Fresh_seeds,B03,-0.2,28,0.316326531,0.232670601,0.413838783,NA
105,Fresh_seeds,B03,0,28,0.530612245,0.432524672,0.626390431,0.044444444
106,Fresh_seeds,B07,-1.2,28,0,0,0.038864854,NA
107,Fresh_seeds,B07,-1,28,0,0,0.038475588,NA
108,Fresh_seeds,B07,-0.8,28,0.030927835,0.010573345,0.087020035,NA
109,Fresh_seeds,B07,-0.6,28,0.020618557,0.005672685,0.072087582,NA
110,Fresh_seeds,B07,-0.4,28,0.127659574,0.074558139,0.209998727,NA
111,Fresh_seeds,B07,-0.2,28,0.252525253,0.177293769,0.346244689,NA
112,Fresh_seeds,B07,0,28,0.546391753,0.447440924,0.641808082,0.054794521
113,Fresh_seeds,B17,-1.2,28,0,3.33182265592572e-18,0.039667503,NA
114,Fresh_seeds,B17,-1,28,0.033333333,0.01140039,0.09347286,NA
115,Fresh_seeds,B17,-0.8,28,0.021978022,0.006048006,0.076631646,NA
116,Fresh_seeds,B17,-0.6,28,0.076086957,0.03734356,0.148812401,NA
117,Fresh_seeds,B17,-0.4,28,0.252747253,0.174727173,0.350796785,NA
118,Fresh_seeds,B17,-0.2,28,0.404040404,0.312718568,0.502531038,NA
119,Fresh_seeds,B17,0,28,0.602040816,0.503049527,0.693334148,0.086956522
120,Fresh_seeds,B20,-1.2,28,0,0,0.03771999,NA
121,Fresh_seeds,B20,-1,28,0,0,0.038094043,NA
122,Fresh_seeds,B20,-0.8,28,0,0,0.037353212,NA
123,Fresh_seeds,B20,-0.6,28,0.055555556,0.023960972,0.123537362,NA
124,Fresh_seeds,B20,-0.4,28,0.134020619,0.080024567,0.215899939,NA
125,Fresh_seeds,B20,-0.2,28,0.551020408,0.452475461,0.645716377,0.076923077
126,Fresh_seeds,B20,0,28,0.765957447,0.67097301,0.8400578,0.148148148
127,Fresh_seeds,C00,-1.2,28,0,0,0.038475588,NA
128,Fresh_seeds,C00,-1,28,0.010204082,0.001803548,0.05555481,NA
129,Fresh_seeds,C00,-0.8,28,0.010752688,0.001900642,0.058419172,NA
130,Fresh_seeds,C00,-0.6,28,0.021978022,0.006048006,0.076631646,NA
131,Fresh_seeds,C00,-0.4,28,0.204301075,0.134876423,0.297185003,NA
132,Fresh_seeds,C00,-0.2,28,0.587628866,0.488154697,0.68042676,0.075471698
133,Fresh_seeds,C00,0,28,0.69,0.593739443,0.772203028,0.15625
134,Fresh_seeds,C06,-1.2,28,0,0,0.03771999,NA
135,Fresh_seeds,C06,-1,28,0,0,0.038094043,NA
136,Fresh_seeds,C06,-0.8,28,0.030612245,0.010464891,0.086170202,NA
137,Fresh_seeds,C06,-0.6,28,0.170212766,0.107576212,0.258745583,NA
138,Fresh_seeds,C06,-0.4,28,0.364583333,0.275239401,0.464347738,NA
139,Fresh_seeds,C06,-0.2,28,0.444444444,0.350460674,0.542578572,NA
140,Fresh_seeds,C06,0,28,0.787878788,0.697386536,0.856864645,0.229885057
141,Fresh_seeds,C19,-1.2,28,0,0,0.038864854,NA
142,Fresh_seeds,C19,-1,28,0.010752688,0.001900642,0.058419172,NA
143,Fresh_seeds,C19,-0.8,28,0.02173913,0.005982041,0.07583494,NA
