"","Community","Site","Micro","Year","GS_start","GS_end","data_start","data_end","GS_length","data_days","Site_year","WS_start","WS_end","hour_stress","WPtotal","day_stress","WS_length"
"1","Omaña","Cañada","central",2021,2021-07-07,2021-08-26,2021-07-05,2021-08-26,50,52,"Cañada central 2021",2021-07-10,2021-08-26,785,11424.22678,33,47
"2","Omaña","Cañada","cold",2022,2022-07-07,2022-10-28,2022-07-05,2022-12-31,113,179,"Cañada cold 2022",2022-07-29,2022-08-11,327,4836.154735,14,13
"3","Omaña","Cañada","warm",2022,2022-07-07,2022-10-28,2022-07-05,2022-12-31,113,179,"Cañada warm 2022",2022-07-22,2022-08-08,426,6150.31265745,18,17
"4","Omaña","Penauta","central",2021,2021-06-26,2021-10-22,2021-06-24,2021-12-31,118,190,"Penauta central 2021",2021-07-20,2021-08-26,778,11386.588916,33,37
"5","Omaña","Penauta","central",2022,2022-04-17,2022-10-29,2022-01-01,2022-12-31,195,364,"Penauta central 2022",2022-07-14,2022-09-13,1233,17906.60284685,52,61
"6","Omaña","Penauta","central",2023,2023-04-09,2023-11-16,2023-01-01,2023-11-19,221,322,"Penauta central 2023",2023-07-08,2023-09-02,1216,17610.30341885,51,56
"7","Omaña","Penauta","cold",2023,2023-04-10,2023-11-15,2023-01-01,2023-11-19,219,322,"Penauta cold 2023",2023-07-14,2023-09-03,1028,14871.29630445,43,51
"8","Omaña","Penauta","warm",2022,2022-07-06,2022-10-05,2022-07-04,2022-10-05,91,93,"Penauta warm 2022",2022-07-18,2022-08-10,1152,16625.57296896,24,23
"9","Omaña","Penauta","warm",2023,2023-04-20,2023-11-19,2023-04-18,2023-11-19,213,215,"Penauta warm 2023",2023-07-04,2023-10-13,1397,20251.7967545,59,101
"10","Omaña","Rabinalto","central",2021,2021-07-07,2021-10-22,2021-07-05,2021-12-31,107,179,"Rabinalto central 2021",2021-07-19,2021-08-28,687,9979.7158722,29,40
"11","Omaña","Rabinalto","central",2022,2022-04-18,2022-10-29,2022-01-01,2022-12-31,194,364,"Rabinalto central 2022",2022-07-15,2022-09-06,725,10611.89374515,31,53
"12","Omaña","Solana","central",2021,2021-06-27,2021-10-28,2021-06-25,2021-12-31,123,189,"Solana central 2021",2021-07-20,2021-08-27,624,9005.51930304,26,38
"13","Omaña","Solana","central",2022,2022-04-16,2022-08-19,2022-01-01,2022-12-31,125,364,"Solana central 2022",2022-07-18,2022-08-08,522,7578.030528381,22,21
"14","Omaña","Solana","central",2023,2023-04-20,2023-11-16,2023-01-01,2023-11-19,210,322,"Solana central 2023",2023-07-08,2023-10-15,1240,17972.618215,52,99
"15","Omaña","Solana","cold",2022,2022-07-07,2022-10-29,2022-07-05,2022-12-31,114,179,"Solana cold 2022",2022-07-19,2022-08-08,498,7192.311528,21,20
"16","Omaña","Solana","cold",2023,2023-04-09,2023-11-15,2023-01-01,2023-11-19,220,322,"Solana cold 2023",2023-07-10,2023-08-26,984,14201.00928,41,47
"17","Omaña","Solana","warm",2022,2022-07-07,2022-10-30,2022-07-05,2022-12-31,115,179,"Solana warm 2022",2022-07-19,2022-08-09,528,7620.05376,22,21
"18","Omaña","Solana","warm",2023,2023-03-29,2023-11-19,2023-01-01,2023-11-19,235,322,"Solana warm 2023",2023-07-08,2023-10-15,1253,18224.69703115,53,99
