"","ID","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci"
"1","A00","weight",10,0.6,1.01,0.68,0.63,0.735,0.105,0.089,0.717,0.125,0.039,0.089
"2","A02","weight",10,0.4,0.96,0.715,0.588,0.792,0.205,0.178,0.699,0.169,0.054,0.121
"3","A11","weight",10,0.11,0.96,0.765,0.655,0.845,0.19,0.163,0.713,0.247,0.078,0.176
"4","B00","weight",10,0.5,1.28,0.805,0.627,1.005,0.378,0.341,0.836,0.259,0.082,0.185
"5","B03","weight",10,0.49,1.07,0.755,0.617,0.835,0.218,0.193,0.759,0.192,0.061,0.138
"6","B07","weight",10,0.61,1.39,0.725,0.66,0.75,0.09,0.082,0.774,0.225,0.071,0.161
"7","B17","weight",10,0.5,0.96,0.745,0.655,0.84,0.185,0.156,0.746,0.137,0.043,0.098
"8","B19","weight",6,0.32,0.72,0.55,0.5,0.69,0.19,0.163,0.56,0.153,0.063,0.161
"9","B20","weight",10,0.39,0.89,0.59,0.45,0.67,0.22,0.193,0.598,0.168,0.053,0.12
"10","C00","weight",10,0.36,1.19,0.745,0.557,0.85,0.293,0.252,0.732,0.241,0.076,0.172
"11","C06","weight",10,0.45,1.19,0.66,0.55,0.792,0.242,0.178,0.707,0.22,0.069,0.157
"12","C18","weight",10,0.32,0.94,0.655,0.45,0.732,0.282,0.274,0.63,0.21,0.067,0.151
"13","C19","weight",10,0.24,1.02,0.605,0.37,0.722,0.352,0.334,0.584,0.256,0.081,0.183
"14","C20","weight",10,0.33,0.95,0.645,0.555,0.828,0.272,0.222,0.671,0.193,0.061,0.138
"15","D00","weight",10,0.59,1.39,0.94,0.782,1.085,0.303,0.23,0.948,0.242,0.077,0.173
"16","D11","weight",10,0.36,1.51,1.005,0.71,1.085,0.375,0.378,0.933,0.371,0.117,0.265
"17","D12","weight",10,0.49,1.38,0.65,0.6,1.008,0.408,0.193,0.826,0.327,0.104,0.234
"18","D19","weight",10,0.35,1.12,0.625,0.492,0.81,0.318,0.259,0.668,0.242,0.077,0.173
