sowing_time;ID;method;n.treatments;theta;psib50;sigma;R2
After_ripening;A00;bradford;4;1.034762764;-0.39716977;0.173633701;0.969531837
After_ripening;A02;bradford;5;1.495848818;-0.553364428;0.238777603;0.960804505
After_ripening;A11;bradford;5;1.184883997;-0.435489168;0.265924814;0.982734956
After_ripening;B03;bradford;5;1.461713022;-0.469928976;0.248028216;0.953138738
After_ripening;B19;bradford;4;1.089427217;-0.350676383;0.252554477;0.959825574
After_ripening;C00;bradford;5;1.137081738;-0.429848194;0.217110151;0.945957309
After_ripening;C18;bradford;5;1.094009563;-0.369719825;0.244179015;0.954803968
After_ripening;C19;bradford;6;0.919358131;-0.407777463;0.237743926;0.943858397
After_ripening;C20;bradford;5;1.201680297;-0.435229315;0.226072236;0.940834087
After_ripening;D00;bradford;5;1.013099113;-0.453679704;0.214362535;0.929332743
After_ripening;D11;bradford;5;1.541219771;-0.476102446;0.298970643;0.897611361
After_ripening;D19;bradford;5;1.29234179;-0.416119679;0.279960769;0.91195768
Immediate_sowing;A00;bradford;7;0.732209217;0.041760682;0.474052161;0.811428431
Immediate_sowing;B00;bradford;6;0.953212615;-0.059559203;0.40939089;0.881779942
Immediate_sowing;B03;bradford;6;1.256903929;0.082558528;0.570932325;0.893131146
Immediate_sowing;B07;bradford;5;0.780975564;0.065655637;0.41302407;0.875058348
Immediate_sowing;B17;bradford;6;1.262623003;-0.097490543;0.454376769;0.90711987
Immediate_sowing;B20;bradford;4;0.672571123;-0.164893313;0.281600976;0.902543662
Immediate_sowing;C00;bradford;6;0.866387699;-0.174930901;0.320326004;0.898934103
Immediate_sowing;C06;bradford;5;0.91953629;-0.250221333;0.340096555;0.94472397
Immediate_sowing;C19;bradford;6;0.700183956;-0.170828128;0.376209829;0.911167723
Immediate_sowing;D00;bradford;5;0.920748122;-0.229250846;0.324411547;0.909393645
Immediate_sowing;D12;bradford;5;0.765333224;-0.128387077;0.310964491;0.879240639
Immediate_sowing;D19;bradford;5;0.941694597;-0.163454426;0.353041103;0.931748743
